行業別\行政區,松山區數量,信義區數量,大安區數量,中山區數量,中正區數量,大同區數量,萬華區數量,文山區數量,南港區數量,內湖區數量,士林區數量,北投區數量,合計數量
農林漁牧業-商業登記,11,16,21,25,14,13,19,8,4,14,22,19,186
農林漁牧業-公司登記,307,293,460,538,271,188,107,93,86,250,146,88,2827
農林漁牧業-小計,318,309,481,563,285,201,126,101,90,264,168,107,3013
礦業及土石採取業-商業登記,0,1,2,1,0,0,0,1,1,0,0,1,7
礦業及土石採取業-公司登記,32,37,53,87,29,27,19,4,10,31,31,18,378
礦業及土石採取業-小計,32,38,55,88,29,27,19,5,11,31,31,19,385
製造業-商業登記,44,65,84,91,30,64,82,47,58,95,83,45,788
製造業-公司登記,2688,2699,3956,5076,2201,2427,1219,729,1128,3486,1688,901,28198
製造業-小計,2732,2764,4040,5167,2231,2491,1301,776,1186,3581,1771,946,28986
電力及燃氣供應業-商業登記,1,3,0,1,0,0,0,2,0,1,1,1,10
電力及燃氣供應業-公司登記,205,201,283,313,107,90,38,24,39,200,93,27,1620
電力及燃氣供應業-小計,206,204,283,314,107,90,38,26,39,201,94,28,1630
用水供應及污染整治業-商業登記,4,6,14,12,6,9,14,8,10,10,8,15,116
用水供應及污染整治業-公司登記,31,35,49,73,30,31,19,8,19,32,24,16,367
用水供應及污染整治業-小計,35,41,63,85,36,40,33,16,29,42,32,31,483
營建工程業-商業登記,143,237,202,317,161,188,229,185,141,218,180,229,2430
營建工程業-公司登記,2170,2327,3076,3745,1629,1268,818,971,669,1877,1017,778,20345
營建工程業-小計,2313,2564,3278,4062,1790,1456,1047,1156,810,2095,1197,1007,22775
批發及零售業-商業登記,2152,2441,3643,3880,2420,2851,3544,1741,869,2051,2592,1880,30064
批發及零售業-公司登記,2805,2237,3727,5384,2058,2691,1218,706,562,1763,1567,853,25571
批發及零售業-小計,4957,4678,7370,9264,4478,5542,4762,2447,1431,3814,4159,2733,55635
運輸及倉儲業-商業登記,1928,107,212,281,305,151,285,419,297,511,202,354,5052
運輸及倉儲業-公司登記,859,465,528,1305,546,268,139,81,127,363,168,142,4991
運輸及倉儲業-小計,2787,572,740,1586,851,419,424,500,424,874,370,496,10043
住宿及餐飲業-商業登記,921,858,1361,1733,783,470,707,616,284,824,716,682,9955
住宿及餐飲業-公司登記,215,195,515,488,201,135,133,35,26,104,104,55,2206
住宿及餐飲業-小計,1136,1053,1876,2221,984,605,840,651,310,928,820,737,12161
出版/影音製作/傳播及資通訊服務業-商業登記,72,82,112,141,82,54,61,57,45,169,125,60,1060
出版/影音製作/傳播及資通訊服務業-公司登記,1318,1421,2161,2140,1274,635,358,299,301,1129,349,199,11584
出版/影音製作/傳播及資通訊服務業-小計,1390,1503,2273,2281,1356,689,419,356,346,1298,474,259,12644
金融及保險業-商業登記,43,47,39,76,37,62,43,24,16,20,32,8,447
金融及保險業-公司登記,3049,3214,5221,5492,2447,1410,485,429,525,2079,781,381,25513
金融及保險業-小計,3092,3261,5260,5568,2484,1472,528,453,541,2099,813,389,25960
不動產業-商業登記,9,16,46,44,14,23,44,5,2,10,16,3,232
不動產業-公司登記,1069,990,1796,2021,823,571,235,195,167,676,369,174,9086
不動產業-小計,1078,1006,1842,2065,837,594,279,200,169,686,385,177,9318
專業/科學及技術服務業-商業登記,181,231,313,354,203,153,124,116,65,291,118,98,2247
專業/科學及技術服務業-公司登記,3880,4033,6584,6628,3154,2024,866,879,776,2798,1266,725,33613
專業/科學及技術服務業-小計,4061,4264,6897,6982,3357,2177,990,995,841,3089,1384,823,35860
支援服務業-商業登記,99,133,172,250,116,98,134,76,43,81,91,83,1376
支援服務業-公司登記,638,491,740,1693,480,346,191,140,95,333,201,112,5460
支援服務業-小計,737,624,912,1943,596,444,325,216,138,414,292,195,6836
公共行政及國防/強制性社會安全-商業登記,0,0,0,0,0,0,0,0,0,0,0,0,0
公共行政及國防/強制性社會安全-公司登記,0,0,0,0,0,0,0,0,0,0,0,0,0
公共行政及國防/強制性社會安全-小計,0,0,0,0,0,0,0,0,0,0,0,0,0
教育業-商業登記,11,13,45,50,25,18,9,12,8,22,21,5,239
教育業-公司登記,14,15,36,36,13,8,5,5,4,12,12,4,164
教育業-小計,25,28,81,86,38,26,14,17,12,34,33,9,403
醫療保健及社會工作服務業-商業登記,0,0,0,0,0,0,0,0,0,0,0,0,0
醫療保健及社會工作服務業-公司登記,1,0,2,1,0,1,1,0,0,0,0,0,6
醫療保健及社會工作服務業-小計,1,0,2,1,0,1,1,0,0,0,0,0,6
藝術/娛樂及休閒服務業-商業登記,199,182,303,437,206,152,247,155,80,203,225,145,2534
藝術/娛樂及休閒服務業-公司登記,107,84,196,172,85,64,36,29,17,75,50,17,932
藝術/娛樂及休閒服務業-小計,306,266,499,609,291,216,283,184,97,278,275,162,3466
其他服務業-商業登記,443,425,895,875,330,365,365,309,193,432,407,328,5367
其他服務業-公司登記,394,443,634,826,369,209,122,94,105,345,182,100,3823
其他服務業-小計,837,868,1529,1701,699,574,487,403,298,777,589,428,9190
未分類-商業登記,0,0,0,0,0,0,0,0,0,0,0,0,0
未分類-公司登記,467,268,546,840,418,387,196,115,92,238,185,99,3851
未分類-小計,467,268,546,840,418,387,196,115,92,238,185,99,3851
總　　計-商業登記,6261,4863,7464,8568,4732,4671,5907,3781,2116,4952,4839,3956,62110
總　　計-公司登記,20249,19448,30563,36858,16135,12780,6205,4836,4748,15791,8233,4689,180535
總　　計-登記總家數,26510,24311,38027,45426,20867,17451,12112,8617,6864,20743,13072,8645,242645
