分類號,作者,品名,創作年代,媒材技術,尺寸,網址,link,圖片連結
F1044,黃建樺,走獸–熊,2006,金屬相紙、鋁板,120 x 186 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1045,鄭亭亭,"2 Nov 2011, The Indypendent (Occupy Wall Street, special edition)",2011,數位彩色噴墨,29 x 39 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1046,鄭亭亭,"16 Nov 2011,London Evening Standard",2011,數位彩色噴墨,29 x 39 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1047,鄭亭亭,"29 Nov 2011, Financial Times (Special Report)",2011,數位彩色噴墨,29 x 39 cm,https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1048,張乾琦,"Yang Y. Family, Fuzhou/Yang Y. Family, New York City/Yang Y. Family, Fuzhou (楊家，福州亭江鎮／紐約／福州亭江鎮)",2003/ 2004/ 2005,彩色照片、黑白銀鹽照片,63 x 96 cm (x3),https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1049,張乾琦,"Zhang T. Family, New York City/Zhang T. Family, Fuzhou/Zhang T. Family, New York City (張家，紐約／福州長樂區／紐約",2005/ 2010/ 2003,黑白銀鹽照片、彩色照片,63 x 96 cm (x3),https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1050,張乾琦,"Lin M. Family, Fuzhou/Lin M. Family, Fuzhou (林家，福州琅岐鎮／福州琅岐鎮)",2008/ 2007,彩色照片,63 x 96 cm(x2),https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1051,張乾琦,"Chen M. Family, Fuzhou/Chen M. Family, New York City/Chen M. Family, New York City (陳家，福州亭江鎮／紐約／紐約)",2004/ 1998/ 2006,彩色照片、黑白銀鹽照片,63 x 96 cm (x3),https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1052,張乾琦,"Yang Y. Family, New York City/Yang Y. Family, Fuzhou (楊家，紐約／福州亭江鎮)",2004/ 2003,黑白銀鹽照片、彩色照片,63 x 96 cm (x2),https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
F1053,張乾琦,"Zhang Y. Family, New York City/Zhang Y. Family, Fuzhou (張家，紐約／福州長樂區)",2003/ 2006,黑白銀鹽照片、彩色照片,63 x 96 cm (x2),https://www.tfam.museum,https://www.tfam.museum,https://www.tfam.museum
